,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2019-06-28,2,0.0,2,0.0,864,0.0,0.991,8560000,8560000 ( 100.0% ),856,856 ( 100.0% ),8560000,856,15
1,2019-07-01,712,0.107,724,0.039,139986,0.048,0.369,441554260,441554260 ( 100.0% ),51712,51712 ( 100.0% ),450114260,52568,4
2,2019-07-02,1944,0.332,10320,0.553,1842648,0.637,0.366,5618545280,5176991020 ( 1172.4% ),674423,622711 ( 1204.2% ),6068659540,726991,1
3,2019-07-03,1949,0.352,10355,0.559,1837939,0.641,0.277,4242120430,-1376424850 ( -24.5% ),509033,-165390 ( -24.5% ),10310779970,1236024,1
4,2019-07-04,2007,0.353,10428,0.565,1845401,0.645,0.232,3571938790,-670181640 ( -15.8% ),427801,-81232 ( -16.0% ),13882718760,1663825,1
5,2019-07-05,2080,0.361,10965,0.58,1936294,0.661,0.329,5680500670,2108561880 ( 59.0% ),636529,208728 ( 48.8% ),19563219430,2300354,1
6,2019-07-06,2142,0.364,11724,0.592,2058399,0.677,0.597,10757585570,5077084900 ( 89.4% ),1227930,591401 ( 92.9% ),30320805000,3528284,1
7,2019-07-07,2129,0.358,11343,0.585,1995078,0.67,0.498,8688700110,-2068885460 ( -19.2% ),993772,-234158 ( -19.1% ),39009505110,4522056,1
8,2019-07-08,1890,0.344,9883,0.544,1766185,0.628,0.137,2029335770,-6659364340 ( -76.6% ),242112,-751660 ( -75.6% ),41038840880,4764168,1
9,2019-07-09,1901,0.336,9769,0.538,1748079,0.623,0.141,2029651490,315720 ( 0.0% ),247282,5170 ( 2.1% ),43068492370,5011450,1
10,2019-07-10,1688,0.319,8498,0.459,1557152,0.545,0.132,1699560440,-330091050 ( -16.3% ),204870,-42412 ( -17.2% ),44768052810,5216320,1
11,2019-07-11,1612,0.273,8083,0.435,1492399,0.521,0.112,1392131300,-307429140 ( -18.1% ),166832,-38038 ( -18.6% ),46160184110,5383152,1
12,2019-07-12,1648,0.27,8279,0.436,1527015,0.522,0.152,2085733880,693602580 ( 49.8% ),231487,64655 ( 38.8% ),48245917990,5614639,1
13,2019-07-13,1709,0.264,8816,0.438,1616160,0.526,0.365,5223613730,3137879850 ( 150.4% ),589160,357673 ( 154.5% ),53469531720,6203799,1
14,2019-07-14,1681,0.26,8481,0.431,1563258,0.519,0.308,4247042120,-976571610 ( -18.7% ),482038,-107122 ( -18.2% ),57716573840,6685837,1
15,2019-07-15,1553,0.272,7671,0.429,1431017,0.517,0.077,928128510,-3318913610 ( -78.1% ),110059,-371979 ( -77.2% ),58644702350,6795896,1
16,2019-07-16,1571,0.265,7563,0.42,1412762,0.508,0.072,851619460,-76509050 ( -8.2% ),101394,-8665 ( -7.9% ),59496321810,6897290,1
17,2019-07-17,873,0.153,3428,0.179,495028,0.166,0.155,617535170,-234084290 ( -27.5% ),76853,-24541 ( -24.2% ),60113856980,6974143,2
18,2019-07-18,888,0.15,3318,0.174,470681,0.159,0.157,594223800,-23311370 ( -3.8% ),73748,-3105 ( -4.0% ),60708080780,7047891,2
19,2019-07-19,872,0.147,3327,0.17,471696,0.155,0.213,880132550,285908750 ( 48.1% ),100388,26640 ( 36.1% ),61588213330,7148279,2
20,2019-07-20,866,0.134,3108,0.152,433801,0.138,0.434,1644501570,764369020 ( 86.8% ),188430,88042 ( 87.7% ),63232714900,7336709,3
21,2019-07-21,869,0.134,3047,0.152,425815,0.138,0.381,1405078140,-239423430 ( -14.6% ),162321,-26109 ( -13.9% ),64637793040,7499030,3
22,2019-07-22,834,0.146,3166,0.17,449805,0.155,0.121,438694190,-966383950 ( -68.8% ),54293,-108028 ( -66.6% ),65076487230,7553323,3
23,2019-07-23,833,0.142,3172,0.169,450276,0.155,0.113,409322720,-29371470 ( -6.7% ),50828,-3465 ( -6.4% ),65485809950,7604151,3
24,2019-07-24,587,0.103,1776,0.09,242163,0.079,0.148,289773820,-119548900 ( -29.2% ),35868,-14960 ( -29.4% ),65775583770,7640019,5
25,2019-07-25,618,0.098,1724,0.087,237682,0.077,0.145,278849850,-10923970 ( -3.8% ),34491,-1377 ( -3.8% ),66054433620,7674510,5
26,2019-07-26,670,0.104,1844,0.092,252953,0.081,0.168,374610960,95761110 ( 34.3% ),42394,7903 ( 22.9% ),66429044580,7716904,4
27,2019-07-27,676,0.099,1818,0.087,245771,0.076,0.339,736268560,361657600 ( 96.5% ),83313,40919 ( 96.5% ),67165313140,7800217,4
28,2019-07-28,688,0.1,1831,0.09,246632,0.078,0.294,638256920,-98011640 ( -13.3% ),72444,-10869 ( -13.0% ),67803570060,7872661,4
29,2019-07-29,638,0.101,1816,0.093,248285,0.082,0.151,301765430,-336491490 ( -52.7% ),37459,-34985 ( -48.3% ),68105335490,7910120,5
30,2019-07-30,641,0.099,1825,0.093,249143,0.082,0.155,308373030,6607600 ( 2.2% ),38665,1206 ( 3.2% ),68413708520,7948785,5
31,2019-07-31,180,0.027,252,0.012,32129,0.01,0.351,75824050,-232548980 ( -75.4% ),11293,-27372 ( -70.8% ),68489532570,7960078,8
32,2019-08-01,164,0.025,229,0.011,28139,0.008,0.288,64885110,-10938940 ( -14.4% ),8106,-3187 ( -28.2% ),68554417680,7968184,8
33,2019-08-02,164,0.024,226,0.01,28121,0.008,0.306,75669060,10783950 ( 16.6% ),8613,507 ( 6.3% ),68630086740,7976797,7
34,2019-08-03,173,0.025,238,0.011,29525,0.009,0.364,95657240,19988180 ( 26.4% ),10759,2146 ( 24.9% ),68725743980,7987556,7
35,2019-08-04,176,0.026,251,0.011,32188,0.009,0.283,80379460,-15277780 ( -16.0% ),9101,-1658 ( -15.4% ),68806123440,7996657,7
36,2019-08-05,180,0.028,266,0.013,34167,0.01,0.153,42609650,-37769810 ( -47.0% ),5228,-3873 ( -42.6% ),68848733090,8001885,7
37,2019-08-06,184,0.028,265,0.013,35051,0.011,0.142,40442630,-2167020 ( -5.1% ),4975,-253 ( -4.8% ),68889175720,8006860,7
